PeakID	space	start	end	score_position	score	length
chr5_75213	chr5_75213	Chr5	74960	76118	75213	322.3436126	1159
chr1_55003	chr1_55003	Chr1	54637	55278	55003	240.1397525	642
chr4_20667	chr4_20667	Chr4	20441	21260	20667	230.0497031	820
chr5_99841	chr5_99841	Chr5	99517	100182	99841	174.2469833	666
chr2_97878	chr2_97878	Chr2	97711	98040	97878	88.6135995	330
chr5_81548	chr5_81548	Chr5	80678	81786	81548	87.88650763	1109
chr4_78172	chr4_78172	Chr4	77903	78468	78172	85.99965672	566
chr4_60115	chr4_60115	Chr4	59916	60411	60115	79.80340465	496
chr4_18996	chr4_18996	Chr4	18718	19517	18996	77.6123612	800
chr1_16741	chr1_16741	Chr1	16512	16977	16741	77.0293374	466
chr4_56811	chr4_56811	Chr4	56292	57096	56811	59.44991487	805
chr1_11298	chr1_11298	Chr1	11149	11440	11298	52.1095917	292
chr5_16205	chr5_16205	Chr5	16033	16446	16205	46.34853633	414
chr3_76366	chr3_76366	Chr3	76310	76609	76366	43.24805496	300
chr4_73690	chr4_73690	Chr4	73444	73825	73690	40.46255327	382
chr5_83313	chr5_83313	Chr5	83040	83387	83313	38.48736559	348
chr4_75204	chr4_75204	Chr4	74999	75385	75204	34.12358928	387
chr5_76927	chr5_76927	Chr5	76777	77094	76927	33.69274707	318
chr3_49641	chr3_49641	Chr3	49400	50159	49641	32.87445067	760
chr1_79667	chr1_79667	Chr1	79617	79841	79667	25.38108889	225
chr1_61449	chr1_61449	Chr1	61280	61575	61449	23.73178588	296
chr3_48152	chr3_48152	Chr3	48015	48473	48152	23.0038281	459
chr4_54072	chr4_54072	Chr4	53922	54160	54072	22.73472731	239
chr5_5914	chr5_5914	Chr5	5703	6118	5914	19.17823137	416
chr5_57423	chr5_57423	Chr5	57252	57718	57423	19.17823137	467
chr3_21756	chr3_21756	Chr3	21625	21825	21756	18.98014569	201
chr4_55573	chr4_55573	Chr4	55375	55694	55573	18.13986399	320
chr1_20315	chr1_20315	Chr1	20169	20438	20315	17.62784637	270
chr1_60292	chr1_60292	Chr1	60161	60440	60292	17.62784637	280
chr5_34501	chr5_34501	Chr5	34398	34689	34501	17.03835775	292
chr5_79297	chr5_79297	Chr5	79141	79386	79297	16.95130991	246
chr3_43235	chr3_43235	Chr3	43176	43297	43235	14.77318133	122
chr3_84943	chr3_84943	Chr3	84835	85042	84943	14.47957231	208
chr1_57144	chr1_57144	Chr1	57012	57281	57144	14.40299463	270
chr1_38191	chr1_38191	Chr1	38180	38303	38191	13.24791217	124
chr1_8365	chr1_8365	Chr1	8222	8425	8365	11.04621168	204
chr1_61755	chr1_61755	Chr1	61754	61855	61755	11.04621168	102
chr5_9766	chr5_9766	Chr5	9638	9914	9766	10.93116347	277
chr3_42061	chr3_42061	Chr3	42022	42280	42061	10.82224375	259
chr5_84480	chr5_84480	Chr5	84420	84642	84480	10.03217805	223
chr5_39073	chr5_39073	Chr5	39064	39158	39073	9.754006292	95
chr5_79509	chr5_79509	Chr5	79509	79753	79509	9.754006292	245
chr4_69973	chr4_69973	Chr4	69869	70025	69973	9.400837974	157
chr4_76613	chr4_76613	Chr4	76483	76694	76613	9.400837974	212
chr4_88026	chr4_88026	Chr4	88026	88065	88026	9.400837974	40
chr1_68563	chr1_68563	Chr1	68455	68723	68563	8.779725206	269
chr1_37873	chr1_37873	Chr1	37808	37972	37873	7.645080056	165
chr2_96672	chr2_96672	Chr2	96562	96727	96672	6.476752108	166
chr3_89358	chr3_89358	Chr3	89320	89453	89358	6.198425809	134
chr1_81202	chr1_81202	Chr1	81202	81310	81202	6.120628425	109
chr4_25389	chr4_25389	Chr4	25372	25428	25389	5.536872442	57
chr3_24394	chr3_24394	Chr3	24376	24546	24394	5.519089552	171
chr3_42427	chr3_42427	Chr3	42427	42663	42427	5.519089552	237
chr1_13686	chr1_13686	Chr1	13602	13756	13686	5.341906807	155
chr1_52117	chr1_52117	Chr1	52076	52123	52117	5.341906807	48
chr5_40811	chr5_40811	Chr5	40811	40837	40811	4.69499637	27
chr5_83839	chr5_83839	Chr5	83828	83841	83839	4.69499637	14
chr1_3132	chr1_3132	Chr1	3094	3172	3132	4.656515298	79
chr1_80600	chr1_80600	Chr1	80568	80636	80600	4.41952942	69
chr1_99759	chr1_99759	Chr1	99759	99810	99759	4.41952942	52
chr1_20908	chr1_20908	Chr1	20840	20931	20908	4.014669503	92
chr4_45039	chr4_45039	Chr4	44925	45059	45039	3.861057882	135
chr4_54627	chr4_54627	Chr4	54542	54640	54627	3.861057882	99
chr1_63831	chr1_63831	Chr1	63826	63833	63831	3.818355989	8
chr4_54421	chr4_54421	Chr4	54421	54426	54421	3.544290284	6
chr4_84790	chr4_84790	Chr4	84776	84832	84790	3.544290284	57
chr4_85314	chr4_85314	Chr4	85314	85334	85314	3.544290284	21
chr4_85470	chr4_85470	Chr4	85470	85560	85470	3.544290284	91
chr5_26942	chr5_26942	Chr5	26942	26999	26942	3.510016308	58
chr5_74625	chr5_74625	Chr5	74625	74640	74625	3.510016308	16
chr1_35109	chr1_35109	Chr1	35109	35109	35109	3.417848922	1
chr1_80441	chr1_80441	Chr1	80441	80442	80441	3.417848922	2
chr1_91499	chr1_91499	Chr1	91499	91517	91499	3.417848922	19
chr3_34071	chr3_34071	Chr3	34071	34101	34071	3.249238789	31
chr3_87991	chr3_87991	Chr3	87991	88002	87991	3.249238789	12
chr4_36834	chr4_36834	Chr4	36834	36834	36834	2.996823658	1
chr4_88736	chr4_88736	Chr4	88736	88740	88736	2.996823658	5
